Freq.	V(out)
1.04954242865232e+00	(-4.34305928511445e+00dB,1.44788868495765e+02°)
1.05034829145760e+00	(-4.33123550139442e+00dB,1.44771708312303e+02°)
1.05115477302287e+00	(-4.31941343247782e+00dB,1.44754535964118e+02°)
1.05196187382322e+00	(-4.30759307996678e+00dB,1.44737351455161e+02°)
1.05276959433413e+00	(-4.29577444577671e+00dB,1.44720154793067e+02°)
1.05357793503141e+00	(-4.28395753119587e+00dB,1.44702945978460e+02°)
1.05438689639126e+00	(-4.27214233801608e+00dB,1.44685725017277e+02°)
1.05519647889024e+00	(-4.26032886803532e+00dB,1.44668491915533e+02°)
1.05600668300528e+00	(-4.24851712248241e+00dB,1.44651246673677e+02°)
1.05681750921366e+00	(-4.23670710359655e+00dB,1.44633989301731e+02°)
1.05762895799304e+00	(-4.22489881246943e+00dB,1.44616719799362e+02°)
1.05844102982146e+00	(-4.21309225117366e+00dB,1.44599438175091e+02°)
1.05925372517729e+00	(-4.20128742097581e+00dB,1.44582144429682e+02°)
1.06006704453930e+00	(-4.18948432376133e+00dB,1.44564838570260e+02°)
1.06088098838661e+00	(-4.17768296112779e+00dB,1.44547520600430e+02°)
1.06169555719873e+00	(-4.16588333475279e+00dB,1.44530190526021e+02°)
1.06251075145550e+00	(-4.15408544597120e+00dB,1.44512848347976e+02°)
1.06332657163716e+00	(-4.14228929690830e+00dB,1.44495494076031e+02°)
1.06414301822432e+00	(-4.13049488869543e+00dB,1.44478127709024e+02°)
1.06496009169793e+00	(-4.11870222338199e+00dB,1.44460749255612e+02°)
1.06577779253934e+00	(-4.10691130258551e+00dB,1.44443358721640e+02°)
1.06659612123026e+00	(-4.09512212759513e+00dB,1.44425956107217e+02°)
1.06741507825276e+00	(-4.08333470045605e+00dB,1.44408541421332e+02°)
1.06823466408928e+00	(-4.07154902250747e+00dB,1.44391114664916e+02°)
1.06905487922266e+00	(-4.05976509558765e+00dB,1.44373675845682e+02°)
1.06987572413607e+00	(-4.04798292116520e+00dB,1.44356224965825e+02°)
1.07069719931308e+00	(-4.03620250113007e+00dB,1.44338762033021e+02°)
1.07151930523761e+00	(-4.02442383687265e+00dB,1.44321287049245e+02°)
1.07234204239397e+00	(-4.01264692996255e+00dB,1.44303800019012e+02°)
1.07316541126683e+00	(-4.00087178235643e+00dB,1.44286300949994e+02°)
1.07398941234125e+00	(-3.98909839551206e+00dB,1.44268789844191e+02°)
1.07481404610263e+00	(-3.97732677103022e+00dB,1.44251266707917e+02°)
1.07563931303677e+00	(-3.96555691084650e+00dB,1.44233731547624e+02°)
1.07646521362984e+00	(-3.95378881612268e+00dB,1.44216184362999e+02°)
1.07729174836836e+00	(-3.94202248868302e+00dB,1.44198625161243e+02°)
1.07811891773927e+00	(-3.93025793036623e+00dB,1.44181053949578e+02°)
1.07894672222983e+00	(-3.91849514256280e+00dB,1.44163470730184e+02°)
1.07977516232771e+00	(-3.90673412692903e+00dB,1.44145875508130e+02°)
1.08060423852094e+00	(-3.89497488526195e+00dB,1.44128268289531e+02°)
1.08143395129794e+00	(-3.88321741904297e+00dB,1.44110649078078e+02°)
1.08226430114748e+00	(-3.87146172995245e+00dB,1.44093017879038e+02°)
1.08309528855872e+00	(-3.85970781975293e+00dB,1.44075374698188e+02°)
1.08392691402120e+00	(-3.84795568970897e+00dB,1.44057719537368e+02°)
1.08475917802484e+00	(-3.83620534197670e+00dB,1.44040052406294e+02°)
1.08559208105990e+00	(-3.82445677784177e+00dB,1.44022373306114e+02°)
1.08642562361707e+00	(-3.81270999902466e+00dB,1.44004682243216e+02°)
1.08725980618737e+00	(-3.80096500706920e+00dB,1.43986979221734e+02°)
1.08809462926223e+00	(-3.78922180382121e+00dB,1.43969264248448e+02°)
1.08893009333343e+00	(-3.77748039067029e+00dB,1.43951537326042e+02°)
1.08976619889316e+00	(-3.76574076928989e+00dB,1.43933798459138e+02°)
1.09060294643396e+00	(-3.75400294137189e+00dB,1.43916047654756e+02°)
1.09144033644876e+00	(-3.74226690877920e+00dB,1.43898284919178e+02°)
1.09227836943086e+00	(-3.73053267280369e+00dB,1.43880510254387e+02°)
1.09311704587395e+00	(-3.71880023494328e+00dB,1.43862723663873e+02°)
1.09395636627210e+00	(-3.70706959755416e+00dB,1.43844925160549e+02°)
1.09479633111974e+00	(-3.69534076142928e+00dB,1.43827114740408e+02°)
1.09563694091170e+00	(-3.68361372856139e+00dB,1.43809292412762e+02°)
1.09647819614319e+00	(-3.67188850058863e+00dB,1.43791458181609e+02°)
1.09732009730978e+00	(-3.66016507933726e+00dB,1.43773612055648e+02°)
1.09816264490744e+00	(-3.64844346606354e+00dB,1.43755754035398e+02°)
1.09900583943252e+00	(-3.63672366257590e+00dB,1.43737884127477e+02°)
1.09984968138174e+00	(-3.62500567045720e+00dB,1.43720002337322e+02°)
1.10069417125221e+00	(-3.61328949141825e+00dB,1.43702108670634e+02°)
1.10153930954142e+00	(-3.60157512707877e+00dB,1.43684203132073e+02°)
1.10238509674723e+00	(-3.58986257895696e+00dB,1.43666285726110e+02°)
1.10323153336790e+00	(-3.57815184858427e+00dB,1.43648356457250e+02°)
1.10407861990207e+00	(-3.56644293781654e+00dB,1.43630415332426e+02°)
1.10492635684876e+00	(-3.55473584823810e+00dB,1.43612462356849e+02°)
1.10577474470736e+00	(-3.54303058147477e+00dB,1.43594497535622e+02°)
1.10662378397767e+00	(-3.53132713901488e+00dB,1.43576520872276e+02°)
1.10747347515984e+00	(-3.51962552269563e+00dB,1.43558532374963e+02°)
1.10832381875444e+00	(-3.50792573399299e+00dB,1.43540532046681e+02°)
1.10917481526240e+00	(-3.49622777456256e+00dB,1.43522519893536e+02°)
1.11002646518505e+00	(-3.48453164587602e+00dB,1.43504495919516e+02°)
1.11087876902408e+00	(-3.47283734991384e+00dB,1.43486460132417e+02°)
1.11173172728159e+00	(-3.46114488801220e+00dB,1.43468412535521e+02°)
1.11258534046007e+00	(-3.44945426183744e+00dB,1.43450353135235e+02°)
1.11343960906236e+00	(-3.43776547309735e+00dB,1.43432281936303e+02°)
1.11429453359173e+00	(-3.42607852331394e+00dB,1.43414198943697e+02°)
