Freq.	V(out)
1.09395636627210e+00	(-3.75640641331137e+00dB,1.44101640674531e+02°)
1.09479633111974e+00	(-3.74465320869903e+00dB,1.44083953588124e+02°)
1.09563694091170e+00	(-3.73290178657477e+00dB,1.44066254537191e+02°)
1.09647819614319e+00	(-3.72115214872555e+00dB,1.44048543528134e+02°)
1.09732009730978e+00	(-3.70940429679077e+00dB,1.44030820565785e+02°)
1.09816264490744e+00	(-3.69765823216877e+00dB,1.44013085652287e+02°)
1.09900583943252e+00	(-3.68591395667603e+00dB,1.43995338794991e+02°)
1.09984968138174e+00	(-3.67417147184076e+00dB,1.43977579997995e+02°)
1.10069417125221e+00	(-3.66243077951606e+00dB,1.43959809268661e+02°)
1.10153930954142e+00	(-3.65069188110845e+00dB,1.43942026608725e+02°)
1.10238509674723e+00	(-3.63895477819519e+00dB,1.43924232023148e+02°)
1.10323153336790e+00	(-3.62721947270641e+00dB,1.43906425519996e+02°)
1.10407861990207e+00	(-3.61548596599227e+00dB,1.43888607101590e+02°)
1.10492635684876e+00	(-3.60375425975573e+00dB,1.43870776773366e+02°)
1.10577474470736e+00	(-3.59202435575780e+00dB,1.43852934542135e+02°)
1.10662378397767e+00	(-3.58029625546464e+00dB,1.43835080410753e+02°)
1.10747347515984e+00	(-3.56856996067142e+00dB,1.43817214386837e+02°)
1.10832381875444e+00	(-3.55684547271286e+00dB,1.43799336470967e+02°)
1.10917481526240e+00	(-3.54512279337158e+00dB,1.43781446671013e+02°)
1.11002646518505e+00	(-3.53340192454668e+00dB,1.43763544995138e+02°)
1.11087876902408e+00	(-3.52168286757318e+00dB,1.43745631444224e+02°)
1.11173172728159e+00	(-3.50996562399124e+00dB,1.43727706023705e+02°)
1.11258534046007e+00	(-3.49825019567321e+00dB,1.43709768740600e+02°)
1.11343960906236e+00	(-3.48653658404620e+00dB,1.43691819597979e+02°)
1.11429453359173e+00	(-3.47482479086546e+00dB,1.43673858602834e+02°)
1.11515011455181e+00	(-3.46311481771402e+00dB,1.43655885759220e+02°)
1.11600635244662e+00	(-3.45140666614938e+00dB,1.43637901071414e+02°)
1.11686324778056e+00	(-3.43970033807259e+00dB,1.43619904549046e+02°)
1.11772080105845e+00	(-3.42799583457576e+00dB,1.43601896190375e+02°)
1.11857901278545e+00	(-3.41629315792750e+00dB,1.43583876008033e+02°)
1.11943788346715e+00	(-3.40459230931693e+00dB,1.43565844002309e+02°)
1.12029741360951e+00	(-3.39289329053728e+00dB,1.43547800179867e+02°)
1.12115760371887e+00	(-3.38119610302204e+00dB,1.43529744545380e+02°)
1.12201845430196e+00	(-3.36950074853332e+00dB,1.43511677104305e+02°)
1.12287996586593e+00	(-3.35780722883340e+00dB,1.43493597863715e+02°)
1.12374213891829e+00	(-3.34611554527284e+00dB,1.43475506825902e+02°)
1.12460497396693e+00	(-3.33442569957206e+00dB,1.43457403998321e+02°)
1.12546847152016e+00	(-3.32273769341882e+00dB,1.43439289385617e+02°)
1.12633263208666e+00	(-3.31105152830810e+00dB,1.43421162992706e+02°)
1.12719745617551e+00	(-3.29936720606861e+00dB,1.43403024826762e+02°)
1.12806294429618e+00	(-3.28768472811781e+00dB,1.43384874890976e+02°)
1.12892909695853e+00	(-3.27600409617799e+00dB,1.43366713191695e+02°)
1.12979591467280e+00	(-3.26432531190838e+00dB,1.43348539735652e+02°)
1.13066339794964e+00	(-3.25264837663320e+00dB,1.43330354523746e+02°)
1.13153154730008e+00	(-3.24097329228054e+00dB,1.43312157566105e+02°)
1.13240036323556e+00	(-3.22930006058004e+00dB,1.43293948867849e+02°)
1.13326984626788e+00	(-3.21762868277805e+00dB,1.43275728432043e+02°)
1.13413999690927e+00	(-3.20595916066230e+00dB,1.43257496265209e+02°)
1.13501081567232e+00	(-3.19429149569358e+00dB,1.43239252371046e+02°)
1.13588230307003e+00	(-3.18262568979841e+00dB,1.43220996758561e+02°)
1.13675445961581e+00	(-3.17096174441326e+00dB,1.43202729430982e+02°)
1.13762728582343e+00	(-3.15929966113991e+00dB,1.43184450393820e+02°)
1.13850078220708e+00	(-3.14763944166320e+00dB,1.43166159653752e+02°)
1.13937494928134e+00	(-3.13598108741536e+00dB,1.43147857214293e+02°)
1.14024978756117e+00	(-3.12432460031044e+00dB,1.43129543084138e+02°)
1.14112529756195e+00	(-3.11266998172882e+00dB,1.43111217265729e+02°)
1.14200147979943e+00	(-3.10101723344154e+00dB,1.43092879767126e+02°)
1.14287833478977e+00	(-3.08936635678669e+00dB,1.43074530591155e+02°)
1.14375586304954e+00	(-3.07771735365470e+00dB,1.43056169745437e+02°)
1.14463406509568e+00	(-3.06607022561173e+00dB,1.43037797236294e+02°)
1.14551294144554e+00	(-3.05442497403536e+00dB,1.43019413065866e+02°)
1.14639249261686e+00	(-3.04278160078232e+00dB,1.43001017242907e+02°)
1.14727271912780e+00	(-3.03114010744843e+00dB,1.42982609773081e+02°)
1.14815362149688e+00	(-3.01950049545911e+00dB,1.42964190659283e+02°)
1.14903520024306e+00	(-3.00786276660110e+00dB,1.42945759910087e+02°)
1.14991745588567e+00	(-2.99622692247215e+00dB,1.42927317530640e+02°)
1.15080038894444e+00	(-2.98459296462573e+00dB,1.42908863525652e+02°)
1.15168399993951e+00	(-2.97296089470655e+00dB,1.42890397902402e+02°)
1.15256828939142e+00	(-2.96133071414337e+00dB,1.42871920663434e+02°)
1.15345325782109e+00	(-2.94970242473419e+00dB,1.42853431817619e+02°)
1.15433890574988e+00	(-2.93807602806996e+00dB,1.42834931369781e+02°)
1.15522523369950e+00	(-2.92645152568016e+00dB,1.42816419325131e+02°)
1.15611224219210e+00	(-2.91482891920178e+00dB,1.42797895689883e+02°)
1.15699993175021e+00	(-2.90320821025371e+00dB,1.42779360469679e+02°)
1.15788830289678e+00	(-2.89158940038478e+00dB,1.42760813670587e+02°)
1.15877735615513e+00	(-2.87997249124063e+00dB,1.42742255298259e+02°)
1.15966709204901e+00	(-2.86835748437852e+00dB,1.42723685358135e+02°)
1.16055751110257e+00	(-2.85674438149809e+00dB,1.42705103857196e+02°)
1.16144861384035e+00	(-2.84513318410262e+00dB,1.42686510799836e+02°)
1.16234040078729e+00	(-2.83352389377656e+00dB,1.42667906192302e+02°)
1.16323287246875e+00	(-2.82191651221922e+00dB,1.42649290041780e+02°)
1.16412602941049e+00	(-2.81031104089724e+00dB,1.42630662351614e+02°)
1.16501987213867e+00	(-2.79870748151905e+00dB,1.42612023129808e+02°)
1.16591440117983e+00	(-2.78710583563184e+00dB,1.42593372381618e+02°)
1.16680961706097e+00	(-2.77550610489808e+00dB,1.42574710113955e+02°)
1.16770552030943e+00	(-2.76390829074903e+00dB,1.42556036330633e+02°)
1.16860211145301e+00	(-2.75231239502206e+00dB,1.42537351039980e+02°)
1.16949939101987e+00	(-2.74071841914010e+00dB,1.42518654246708e+02°)
1.17039735953862e+00	(-2.72912636464756e+00dB,1.42499945955712e+02°)
1.17129601753824e+00	(-2.71753623328293e+00dB,1.42481226174567e+02°)
1.17219536554813e+00	(-2.70594802655622e+00dB,1.42462494909190e+02°)
1.17309540409810e+00	(-2.69436174607970e+00dB,1.42443752165047e+02°)
1.17399613371836e+00	(-2.68277739342208e+00dB,1.42424997947890e+02°)
1.17489755493953e+00	(-2.67119497017828e+00dB,1.42406232264119e+02°)
1.17579966829264e+00	(-2.65961447803876e+00dB,1.42387455121143e+02°)
1.17670247430912e+00	(-2.64803591843677e+00dB,1.42368666522731e+02°)
1.17760597352081e+00	(-2.63645929300867e+00dB,1.42349866475978e+02°)
1.17851016645997e+00	(-2.62488460334454e+00dB,1.42331054986845e+02°)
1.17941505365925e+00	(-2.61331185100658e+00dB,1.42312232060786e+02°)
1.18032063565173e+00	(-2.60174103780292e+00dB,1.42293397707042e+02°)
1.18122691297089e+00	(-2.59017216506636e+00dB,1.42274551928797e+02°)
1.18213388615060e+00	(-2.57860523449533e+00dB,1.42255694733127e+02°)
1.18304155572517e+00	(-2.56704024743771e+00dB,1.42236826123279e+02°)
1.18394992222931e+00	(-2.55547720582756e+00dB,1.42217946110203e+02°)
1.18485898619813e+00	(-2.54391611101876e+00dB,1.42199054697239e+02°)
1.18576874816716e+00	(-2.53235696478959e+00dB,1.42180151891987e+02°)
1.18667920867236e+00	(-2.52079976849503e+00dB,1.42161237699323e+02°)
1.18759036825005e+00	(-2.50924452379662e+00dB,1.42142312125442e+02°)
1.18850222743702e+00	(-2.49769123224589e+00dB,1.42123375177160e+02°)
1.18941478677044e+00	(-2.48613989566624e+00dB,1.42104426862764e+02°)
1.19032804678789e+00	(-2.47459051530045e+00dB,1.42085467185131e+02°)
1.19124200802738e+00	(-2.46304309288182e+00dB,1.42066496151720e+02°)
1.19215667102732e+00	(-2.45149763000528e+00dB,1.42047513769343e+02°)
1.19307203632654e+00	(-2.43995412816109e+00dB,1.42028520044002e+02°)
1.19398810446428e+00	(-2.42841258894516e+00dB,1.42009514981215e+02°)
1.19490487598019e+00	(-2.41687301400690e+00dB,1.41990498588378e+02°)
